name,description,category,lat,lng,capacity_per_slot,district,region,panchayat_id,is_active,image_url
"Paithalmala Eco Hill Station","High altitude hill station in Kannur known for dense fog treks and valley viewpoints.","viewpoints",12.1692,75.5606,40,"Kannur","Kudiyanmala","PTM-2024",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Anakkampoyil Valley","Gateway to Vellarimala trek with river pools and offbeat forest trails.","waterfalls",11.4116,76.1208,40,"Kozhikode","Thiruvambady","TVM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Arippara Waterfalls","Natural water slide and rock pool ecosystem near Anakkampoyil.","waterfalls",11.3912,76.1054,50,"Kozhikode","Nellisoyil","NLS-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Edakkal Caves","Prehistoric petroglyphs and neolithic carvings atop Ambukuthi Mala.","eco",11.6275,76.2344,80,"Wayanad","Ambalavayal","AMB-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Meenmutty Waterfalls","Three-tiered wilderness cascade deep inside Banasura ranges.","waterfalls",11.5317,76.2392,40,"Wayanad","Padinjarathara","PDN-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Chethalayam Waterfalls","Seasonal forest trek and quiet waterfall spot in Wayanad corridor.","waterfalls",11.6881,76.2238,25,"Wayanad","Kidanganad","KDG-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Karapuzha Dam Park","Earthen dam reservoir with surrounding wetland birding spots.","eco",11.6111,76.1706,120,"Wayanad","Vazhavatta","VZV-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Muthanga Wildlife Sanctuary","Dense shola forest safari and elephant biosphere zone.","wildlife",11.6708,76.3622,60,"Wayanad","Sulthan Bathery","SLB-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Lakkidi Viewpoint","High mountain pass overlook with misty valley views and rainforest air.","viewpoints",11.5162,76.0381,100,"Wayanad","Vythiri","VTR-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Meesapulimala Peak","High altitude grassland ecosystem with rhododendron valley walks.","viewpoints",10.0967,77.2025,25,"Idukki","Munnar","MNR-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Vagamon Meadows","Rolling alpine-like grassy hills and pine forest trail ecosystem.","viewpoints",9.6872,76.9056,150,"Idukki","Vagamon","VGM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Eravikulam National Park","Protected high-altitude shola-grassland habitat for Nilgiri Tahr.","wildlife",10.2289,77.0864,100,"Idukki","Munnar","MNR-2027",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Anayirankal Dam Reserve","Scenic reservoir enclosed by tea gardens and wild elephant corridors.","eco",10.0125,77.1956,75,"Idukki","Chinnakanal","CHK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Marayoor Sandalwood Forest","Natural sandalwood reserve, dolmens, and ancient rock art sites.","forests",10.2786,77.1528,50,"Idukki","Marayoor","MYR-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Kanthalloor Orchards","Cool-climate village famous for apple, orange, and terrace farm tourism.","eco",10.2189,77.1856,60,"Idukki","Kanthalloor","KTL-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Urumbikkara Hills","Off-road hill trek with abandoned tea estates and mountain streams.","viewpoints",9.5889,76.9603,30,"Idukki","Kokkayar","KKY-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Kulamavu Dam Viewpoint","Hydroelectric forest reservoir overlook surrounded by thick woods.","viewpoints",9.8047,76.8872,80,"Idukki","Kulamavu","KLM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Calvary Mount","Panoramic vantage point overlooking Idukki reservoir and forest islands.","viewpoints",9.8167,76.9500,70,"Idukki","Kamakshy","KMS-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Ramakkalmedu Peak","Windy hill crest with massive wind farms and valley views into Tamil Nadu.","viewpoints",9.7917,77.2361,120,"Idukki","Karunapuram","KRP-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Anchuruli Tunnel","Unique water tunnel site flowing from Erattayar into Idukki lake.","eco",9.8656,77.0425,50,"Idukki","Kanjikuzhy","KJK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Cheeyappara Waterfalls","Multi-tiered roadside cascade flowing through dense forest rocks.","waterfalls",10.0381,76.8925,100,"Idukki","Adimali","ADM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Valara Waterfalls","Surrounded by dense forest foliage, flowing into the Periyar river.","waterfalls",10.0275,76.8681,80,"Idukki","Adimali","ADM-2027",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Mathikettan Shola Forest","Evergreen shola national park rich in endemic flora and fauna.","forests",9.9706,77.2289,20,"Idukki","Poochapra","PCP-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Kolukkumalai Tea Estate","World's highest tea plantation with misty mountain sunrise vistas.","viewpoints",10.0811,77.2269,40,"Idukki","Bodinayakanur","BDN-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Thommankuthu Waterfalls","Seven-step waterfall system with forest trekking trails and caves.","waterfalls",9.9575,76.8211,60,"Idukki","Vannappuram","VNP-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Kottoppadam Village","Model eco-village featuring rural farm walks and river bath spots.","eco",10.9979,76.3914,50,"Palakkad","Kottoppadam","KTP-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Kava Catchment Area","Scenic reservoir bank framed by lush green hills during monsoons.","viewpoints",10.8419,76.6853,100,"Palakkad","Akathuthethara","AKT-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Nelliampathy Hills","Cloud-capped hill station with orange orchards and Seetharkundu cliff.","viewpoints",10.5342,76.6936,75,"Palakkad","Nelliampathy","NLP-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Malampuzha Dam & Rock Garden","Large reservoir garden and environmental eco-park at mountain base.","eco",10.8308,76.6833,200,"Palakkad","Malampuzha","MLP-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Dhoni Waterfalls & Trek","4-km trek through reserve forest leading to a secluded hill stream.","waterfalls",10.8425,76.5772,40,"Palakkad","Puduppariyaram","PDP-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Parambikulam Tiger Reserve","Bio-diverse tiger sanctuary with teak plantations and lake safaris.","wildlife",10.3928,76.7758,40,"Palakkad","Muthalamada","MTM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Siruvani Reservoir Trail","Pristine mountain water reservoir surrounded by dense forest ranges.","forests",10.9653,76.6214,30,"Palakkad","Agali","AGL-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Vazhachal Forest Waterfalls","Rushing river rapid system surrounded by dense evergreen shola.","waterfalls",10.3014,76.5936,100,"Thrissur","Athirappilly","ATP-2027",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Poomala Dam Eco Reserve","Quiet reservoir surrounded by pine-lined hillocks and walkways.","eco",10.6094,76.2481,60,"Thrissur","Killannur","KLN-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Chimmini Wildlife Sanctuary","Tropical rainforest reservoir haven for birdwatching and bamboo rafting.","wildlife",10.4358,76.4639,50,"Thrissur","Ezhakkad","EZK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Peechi Dam & Catchment","Forest-enclosed dam reservoir with botanical gardens and wildlife trails.","eco",10.5317,76.3533,100,"Thrissur","Peechi","PCH-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Fort Kochi Heritage Coast","Historic coastal zone featuring colonial lanes and mangrove estuaries.","eco",9.9632,76.2383,200,"Ernakulam","Fort Kochi","FKC-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Bhoothathankettu Dam & Forest","Natural boulder dam and Periyar rainforest trail near bird sanctuary.","forests",10.1343,76.6622,80,"Ernakulam","Pindimana","PDM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Areekkal Waterfalls","Roadside waterfall falling over rocky steps in a rubber forest belt.","waterfalls",9.9072,76.5417,60,"Ernakulam","Piramavom","PVM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Thattekad Bird Sanctuary","Rich tropical bird habitat along the Periyar river (Salim Ali Sanctuary).","wildlife",10.1311,76.6822,50,"Ernakulam","Kottappady","KTP-2027",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Mangalavanam Mangrove Sanctuary","Ecological green lung in Ernakulam city for migratory bird nesting.","eco",9.9881,76.2736,40,"Ernakulam","Kochi Central","KCH-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Marmala Waterfalls","40-meter waterfall plunging into a deep natural pool inside rubber woods.","waterfalls",9.7108,76.8486,35,"Kottayam","Teekoy","TKY-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Ilaveezhapoonchira","Treeless valley encircled by hillocks with sweeping sunrise viewpoints.","viewpoints",9.8075,76.7323,50,"Kottayam","Melukavu","MLK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Aymanam Responsible Village","Meandering backwaters, rural canals, and traditional paddy farming.","eco",9.6112,76.4952,60,"Kottayam","Aymanam","AYM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Kumarakom Bird Sanctuary","Vembanad lake wetland reserve for herons, egrets, and migratory species.","wildlife",9.6231,76.4312,80,"Kottayam","Kumarakom","KMK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Gavi Eco-Tourism Reserve","Evergreen rainforests, elephant herds, and canoeing on Gavi lake.","forests",9.4405,77.1603,20,"Pathanamthitta","Seethathode","STH-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Perunthenaruvi Waterfalls","Wide rocky waterfall on Pamba river cascading into a deep gorge.","waterfalls",9.4128,76.8833,70,"Pathanamthitta","Vechoochira","VCR-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Konni Elephant Reserve","Forest training center and teakwood museum amidst river reserves.","eco",9.2458,76.8533,90,"Pathanamthitta","Konni","KNN-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Kakki Reservoir Viewpoint","High forest dam surrounded by Western Ghats biodiversity zones.","viewpoints",9.3242,77.1511,30,"Pathanamthitta","Seethathode","STH-2027",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Pathiramanal Island","Secluded backwater island on Vembanad Lake accessible only by boat.","eco",9.6186,76.3853,40,"Alappuzha","Muhamma","MHM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Kuttanad Backwater Canals","Paddy fields below sea level with mangrove canal waterways.","eco",9.3478,76.4022,120,"Alappuzha","Champakulam","CPK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Marari Eco Coast","Quiet fishing village coastline lined with coconut groves.","eco",9.6001,76.2831,150,"Alappuzha","Mararikulam","MRK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Jatayu Earth's Center","Hilltop eco-park with massive bird sculpture and rock trails.","viewpoints",8.8856,76.8683,150,"Kollam","Chadayamangalam","CYM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Munroe Island Canals","Network of narrow mangrove canals and traditional village waterways.","eco",8.9950,76.6210,80,"Kollam","Munroe Island","MNI-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Palaruvi Waterfalls","300-foot waterfall surrounded by tropical forest reserves.","waterfalls",8.9481,77.1578,100,"Kollam","Aryankavu","AYK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Thenmala Eco-Tourism Park","Planned eco-tourism center with elevated canopy walkways and deer park.","eco",8.9622,77.0658,120,"Kollam","Thenmala","TNM-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Shendurney Wildlife Sanctuary","Tropical evergreen forest around Parappar dam lake.","wildlife",8.9025,77.1214,35,"Kollam","Thenmala","TNM-2027",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Ashtamudi Kayal Estuary","Palm-shaped backwater lagoon system rich in estuarine ecology.","eco",8.9322,76.5811,100,"Kollam","Kallada","KLD-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Ponmudi Golden Peak","Misty hill station with 22 hairpin turns and winding ridge walks.","viewpoints",8.7608,77.1122,80,"Thiruvananthapuram","Vithura","VTR-2027",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Neyyar Dam & Sanctuary","Forest dam site with lion safari park and crocodile rehabilitation trails.","wildlife",8.5303,77.1472,90,"Thiruvananthapuram","Kallikkad","KKD-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Varkala Cliff Overlook","Red clay cliffs dropping into Arabian sea with coastal footpaths.","viewpoints",8.7356,76.7031,200,"Thiruvananthapuram","Varkala","VRK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Kappil Lake & Coast","Estuary where backwaters merge with the ocean along a coastal drive.","eco",8.7189,76.6719,100,"Thiruvananthapuram","Edava","EDV-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Agasthyakoodam Peak","Bio-rich mountain peak famous for rare medicinal plants and orchids.","viewpoints",8.6142,77.2486,15,"Thiruvananthapuram","Amboori","AMB-2027",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Mankayam Waterfalls","Eco-tourism site with Kalakkayam falls inside dense bamboo forests.","waterfalls",8.7511,77.0822,40,"Thiruvananthapuram","Peringamala","PRG-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/e/e4/Athirappilly_Waterfalls.jpg"
"Nedumkayam Rainforest","Teak forests and old wooden hanging bridge over Chaliyar river.","forests",11.2825,76.3267,30,"Malappuram","Nilambur","NLB-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Nilambur Conolly Plot","World's oldest teak plantation along the banks of Chaliyar river.","eco",11.2722,76.2239,80,"Malappuram","Nilambur","NLB-2027",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Arimbra Hills (Mini Ooty)","Grass-covered hill view looking over Malappuram valleys.","viewpoints",11.1611,75.9812,100,"Malappuram","Kondotty","KDT-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Aralam Wildlife Sanctuary","Northernmost sanctuary in Kerala with butterfly safaris and rivers.","wildlife",11.9542,75.8361,40,"Kannur","Aralam","ARL-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Muzhappilangad Beach Coast","Long firm coast lined with black rocks and coconut trees.","eco",11.7928,75.4522,250,"Kannur","Muzhappilangad","MZP-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Palakkayam Thattu","High altitude viewpoint in Western Ghats with misty walkways.","viewpoints",12.0911,75.5689,80,"Kannur","Naduril","NDR-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Madayipara Laterite Plateau","Ecologically sensitive laterite hillock rich in rare flora and biodiversity.","eco",12.0312,75.2589,60,"Kannur","Ezhome","EZH-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Bekal Fort Coastal Park","Sea fort overlooking Arabian sea with coastal gardens.","eco",12.3928,75.0328,200,"Kasaragod","Pallikkere","PLK-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/3/30/Kerala_backwaters.jpg"
"Ranipuram Hills","Grassland shola trek known as the Ooty of Kerala.","viewpoints",12.4225,75.3486,40,"Kasaragod","Panathady","PNT-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"
"Kottancheri Hills","Extension of Brahmagiri ranges with dense rainforest trails.","forests",12.3364,75.3908,25,"Kasaragod","West Eleri","WEL-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/6/67/Muthanga_Wildlife_Sanctuary.jpg"
"Posadigumpe Hillock","Isolated hillock offering views of Arabian sea and Kudremukh range.","viewpoints",12.5811,75.1122,50,"Kasaragod","Manjeswaram","MJS-2026",TRUE,"https://upload.wikimedia.org/wikipedia/commons/1/1a/Munnar_hillstation_kerala.jpg"all
